u	c	t0v15	t1v15	t2v15	t3v15	t4v15	t5v15	t6v15	t7v15	t8v15	t9v15	
16	1	434.982	273.309	272.725	639.600	529.474	333.702	255.540	652.522	510.451	270.648	
16	2	726.585	269.156	516.984	350.332	361.035	1144.003	438.420	704.087	414.552	935.441	
16	3	208.001	466.769	189.421	255.668	353.580	656.597	284.816	275.408	182.704	256.809	
16	4	631.456	423.741	617.407	477.883	195.830	338.591	151.798	443.340	179.259	669.871	
16	5	357.087	272.528	305.412	201.504	231.630	253.462	376.677	280.030	492.228	267.233	
16	6	171.121	585.870	355.922	241.255	320.758	809.192	426.042	1079.951	667.796	1330.583	
16	7	158.213	229.756	167.493	147.783	123.129	240.000	272.509	297.918	816.398	267.030	
16	8	305.431	466.219	340.798	336.054	319.275	251.502	223.860	317.621	567.370	287.424	
17	1	275.390	752.792	393.399	381.238	812.277	183.537	315.095	999.921	246.453	291.686	
17	2	428.957	292.945	274.564	379.021	566.191	285.365	457.155	582.012	319.605	510.075	
17	3	303.884	174.727	210.736	526.943	120.848	229.319	197.199	130.558	166.371	172.994	
17	4	296.288	205.069	304.403	242.548	331.470	274.316	376.156	452.786	240.930	247.104	
17	5	445.363	572.323	488.389	248.310	503.700	346.537	407.017	315.972	374.011	277.159	
17	6	257.263	343.832	322.649	409.119	692.794	547.770	371.992	231.588	263.591	524.866	
17	7	344.000	124.441	94.775	173.291	124.232	107.383	400.799	167.246	176.306	278.066	
17	8	500.888	332.376	483.823	363.502	269.408	305.918	429.520	290.070	403.499	161.684	
18	1	375.981	649.654	274.199	398.090	423.086	227.365	723.665	245.516	1093.776	375.204	
18	2	368.499	496.719	710.438	574.757	350.130	480.759	378.404	279.061	195.353	244.814	
18	3	235.026	278.423	227.850	297.662	228.423	271.973	320.928	213.377	242.669	254.184	
18	4	448.523	442.933	130.628	186.742	342.160	313.232	486.307	179.378	1052.589	191.723	
18	5	250.422	230.970	232.512	242.106	438.334	292.690	208.471	276.307	434.650	240.689	
18	6	192.112	643.011	212.782	285.944	274.251	509.495	262.286	231.725	270.885	271.059	
18	7	664.297	194.590	306.530	100.078	95.818	163.756	166.689	102.169	187.937	354.434	
18	8	300.911	427.959	345.952	641.986	240.535	471.445	303.481	135.198	1789.873	154.593	
19	1	279.932	540.341	490.683	336.906	713.018	523.044	301.646	511.014	495.320	340.764	
19	2	580.460	421.391	397.522	704.872	477.053	586.879	365.982	444.783	348.929	459.920	
19	3	492.874	653.588	438.199	401.114	545.164	646.914	276.949	374.923	396.958	182.964	
19	4	515.405	194.153	463.844	494.687	401.115	334.797	185.777	185.456	293.107	468.488	
19	5	1013.193	296.699	611.017	339.677	344.339	550.240	465.118	491.084	658.596	440.901	
19	6	730.875	409.578	416.594	545.634	385.079	478.207	680.176	596.780	410.259	747.109	
19	7	226.342	333.785	139.124	97.891	193.071	203.717	323.304	151.059	350.297	213.396	
19	8	358.700	472.863	352.376	291.840	257.831	227.994	280.130	403.959	257.267	231.608	
20	1	251.716	247.343	575.055	393.862	335.346	227.292	197.164	388.966	309.602	323.943	
