user	condition	trial	RTech	ViewCtrl	Release	T0	T1	TT	D0	D1	A0	A1	C0	C1	CC	HD0	HD1	HA0	HA1	TE0	TE1	RE0	RE1	NOA	
3	3	3	0	0	1	0	3.033203	22.93335	25.96655	0.9898642	0.008790886	44.06484	1.986156	0	2	2	0.9016843	1.051669	162.8038	270.8279	0.9753851	0.4474254	0.8650793	0.1563503	1	
3	4	1	0	0	1	1	2.907715	25.4668	28.37451	0.9923999	0.02325514	44.04942	2.954215	0	2	2	0.9960019	1.042821	171.8703	332.9521	0.8941009	0.4517694	0.609131	0.1298067	1	
3	4	2	0	0	1	1	3.9104	23.59985	27.51025	0.9800553	0.0163815	150.0655	3.394165	1	4	5	0.8197319	1.528099	184.0755	784.6263	0.9454755	0.3050439	0.7573385	0.1887295	1	
3	4	3	0	0	1	1	6.006592	13.15552	19.16211	0.9956359	0.01022184	31.51256	2.270098	0	1	1	1.391645	0.4584577	288.2299	176.5581	0.7930315	0.4828671	0.4162917	0.1789052	1	
3	5	1	0	1	0	0	7.597412	18.04443	25.64185	1.42128	0.2409648	29.89133	6.180444	1	2	3	1.298921	0.925952	248.2841	233.5986	0.8412151	0.7588761	0.3664005	0.2605795	1	
3	5	2	0	1	0	0	2.434814	44.28882	46.72363	0.9995807	0.1237671	105.7969	22.55153	0	8	8	0.8147053	2.054733	150.1366	650.0507	0.9382751	0.2198203	0.6987631	0.2252633	1	
3	5	3	0	1	0	0	1.10791	24.84448	25.95239	0.9940978	0.1721254	98.87407	7.568994	0	3	3	0.6139361	0.9025382	99.66577	293.6638	0.9650588	0.5718452	0.7997071	0.4320755	1	
3	6	1	0	1	0	1	5.220215	20.19995	25.42017	1.43547	0.04082381	29.66455	3.954884	1	3	4	1.236256	1.150947	269.9524	348.7044	0.7877334	0.7102078	0.2939667	0.1158405	1	
3	6	2	0	1	0	1	1.574951	16.23315	17.80811	0.9830523	0.175677	115.7324	1.17967	0	2	2	0.6147129	0.8584451	125.3859	297.0444	0.964577	0.365988	0.6047276	0.4294436	1	
3	6	3	0	1	0	1	3.176758	21.5332	24.70996	0.987434	0.1191125	124.0104	2.723425	0	4	4	0.9407018	1.019548	275.331	472.3795	0.8836816	0.3978397	0.3243065	0.2579139	1	
